# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0
# m_u = 0
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 105
# process  = nu gamma -> nu u u~
# Ecms	sigma[pb]	sigma_error[pb]
1e-12	inf	4.73401764243475e-19
3.29034456231267e-12	7.61755766665278e+17	3.18838542372542e+17
1.08263673387405e-11	-227297378386565	409756712103251
3.56224789026243e-11	-6.76023210796568e+15	2.24578884827604e+16
1.17210229753347e-10	-1403150188194.84	112665369790.814
3.85662042116344e-10	-265702895.614029	9436200.16205928
1.26896100316791e-09	-576780363.864739	13085566.7898723
4.17531893656036e-09	-254078.753102713	6410.73835982969
1.37382379588325e-08	-448.920391136097	11.6795254706071
4.52035365636018e-08	-0.333969465206	0.00905793441154124
1.48735210729349e-07	-0.000251191431128943	5.66125710081721e-06
4.89390091847743e-07	-2.02927656094355e-07	4.15826592094647e-09
1.61026202756092e-06	-1.11072160397875e-10	2.34256490472068e-12
5.29831690628364e-06	-2.38208172741667e-14	4.35902367000964e-16
1.74332882219997e-05	1.17660644643175e-15	6.18293776694157e-17
5.73615251044861e-05	8.01012312828797e-14	1.54952724425352e-15
0.000188739182213507	1.12637223855753e-12	1.73420177156835e-14
0.000621016941891554	1.39113672290751e-11	2.66631877239922e-13
0.00204335971785692	1.5456247971306e-10	3.35602302514507e-12
0.00672335753649925	1.34287742577032e-09	2.76056695030034e-11
0.0221221629107042	1.72792022684631e-08	3.99136788954274e-10
0.0727895384398306	1.8241068570759e-07	4.18025443366642e-09
0.239502661998746	2.02112312287011e-06	4.79723286725481e-08
0.788046281566982	2.16100663447844e-05	6.41298535566069e-07
2.59294379740464	0.000228742879907301	5.46703487566246e-06
8.5316785241727	0.00275090470384798	7.22895627342565e-05
28.0721620394114	0.0270107979227953	0.000586156829620744
92.3670857187375	0.209093157421148	0.00585614668417027
303.919538231316	0.571140982971335	0.01614316026209
999.999999999988	0.812553701541161	0.0182975064826677
