# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0
# m_u = 0
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 116
# process  = nu_e gamma -> e- nu_e e+
# Ecms	sigma[pb]	sigma_error[pb]
1e-12	0	1.57013171246727e-18
3.29034456231267e-12	0	1.57013171246727e-18
1.08263673387405e-11	0	1.57013171246727e-18
3.56224789026243e-11	0	1.57013171246727e-18
1.17210229753347e-10	0	1.57013171246727e-18
3.85662042116344e-10	0	1.57013171246727e-18
1.26896100316791e-09	0	1.57013171246727e-18
4.17531893656036e-09	0	1.57013171246727e-18
1.37382379588325e-08	0	1.57013171246727e-18
4.52035365636018e-08	0	1.57013171246727e-18
1.48735210729349e-07	0	1.57013171246727e-18
4.89390091847743e-07	0	1.57013171246727e-18
1.61026202756092e-06	0	1.57013171246727e-18
5.29831690628364e-06	0	1.57013171246727e-18
1.74332882219997e-05	0	1.57013171246727e-18
5.73615251044861e-05	0	1.57013171246727e-18
0.000188739182213507	0	1.57013171246727e-18
0.000621016941891554	0	1.57013171246727e-18
0.00204335971785692	6.5295176643539e-12	5.65136943588831e-15
0.00672335753649925	5.51714815263531e-10	4.2734324800818e-13
0.0221221629107042	1.22040705935676e-08	1.04929252735411e-11
0.0727895384398306	1.9809188293546e-07	1.80995890586144e-10
0.239502661998746	2.84708178066262e-06	2.74670447953451e-09
0.788046281566982	3.84920104078416e-05	5.19680440169674e-08
2.59294379740464	0.000500708834569466	1.03871582226194e-06
8.5316785241727	0.00627088768857997	2.05025385807139e-05
28.0721620394114	0.0768346812714225	0.000377558307981438
92.3670857187375	56.9920252451368	0.0491252327487154
303.919538231316	18.7706684340436	0.0277846178539611
999.999999999988	13.1429439647063	0.0567084285855839
