# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0
# m_u = 0
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 19
# process  = nu_1 nu_1~ -> d d~
# Ecms	sigma[pb]	sigma_error[pb]
1e-12	6.30150911502268e-27	1.57013171246727e-18
3.29034456231267e-12	6.8222452467657e-26	1.57013171246727e-18
1.08263673387405e-11	7.38601331164616e-25	1.57013171246727e-18
3.56224789026243e-11	7.99636932807087e-24	1.57013171246727e-18
1.17210229753347e-10	8.65716317219325e-23	1.57013171246727e-18
3.85662042116344e-10	9.372562861358e-22	1.57013171246727e-18
1.26896100316791e-09	1.014708084425e-20	1.57013171246727e-18
4.17531893656036e-09	1.09856024635747e-19	1.57013171246727e-18
1.37382379588325e-08	1.18934167708031e-18	1.57013171246727e-18
4.52035365636018e-08	1.28762498873452e-17	1.57013171246727e-18
1.48735210729349e-07	1.39403011225817e-16	1.57013171246727e-18
4.89390091847743e-07	1.50922820765727e-15	9.00369999040725e-18
1.61026202756092e-06	1.63394589740865e-14	9.74773635039648e-17
5.29831690628364e-06	1.76741392758691e-13	5.73160473968497e-17
1.74332882219997e-05	1.9142338449333e-12	3.93644482156648e-16
5.73615251044861e-05	2.07312440656479e-11	1.03895979642677e-14
0.000188739182213507	2.24444063645534e-10	1.12481604064015e-13
0.000621016941891554	2.4299138802308e-09	1.21776716454989e-12
0.00204335971785692	2.63071402928622e-08	1.31839946684741e-11
0.00672335753649925	2.84810767252897e-07	1.4273477068161e-10
0.0221221629107042	3.08346631773831e-06	1.54529922450785e-09
0.0727895384398306	3.33827776450612e-05	1.67299964037232e-08
0.239502661998746	0.000361418739410189	1.81127354795611e-07
0.788046281566982	0.00391338256929611	1.96121715834432e-06
2.59294379740464	0.0424299760036	2.12640587760045e-05
8.5316785241727	0.466755955748916	0.000233917786713919
28.0721620394114	6.05921286585426	0.00303661398499716
92.3670857187375	36663.6786269555	18.3742412958279
303.919538231316	5.69058216461315	0.00285187230857084
999.999999999988	0.442638581088155	0.00022183120735206
