# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0
# m_u = 0
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 20
# process  = nu_1 nu_1~ -> u u~
# Ecms	sigma[pb]	sigma_error[pb]
1e-12	4.91032065763886e-27	1.57013171246727e-18
3.29034456231267e-12	5.31609351906044e-26	1.57013171246727e-18
1.08263673387405e-11	5.75539812444459e-25	1.57013171246727e-18
3.56224789026243e-11	6.23100542759355e-24	1.57013171246727e-18
1.17210229753347e-10	6.74591536488137e-23	1.57013171246727e-18
3.85662042116344e-10	7.30337577762595e-22	1.57013171246727e-18
1.26896100316791e-09	7.90690289814375e-21	1.57013171246727e-18
4.17531893656036e-09	8.56030352870558e-20	1.57013171246727e-18
1.37382379588325e-08	9.26769905328842e-19	1.57013171246727e-18
4.52035365636018e-08	1.00335514335798e-17	1.57013171246727e-18
1.48735210729349e-07	1.08626913532081e-16	1.57013171246727e-18
4.89390091847743e-07	1.17603486877192e-15	5.34443627774423e-18
1.61026202756092e-06	1.27321854924924e-14	5.78608303613492e-17
5.29831690628364e-06	1.37888411592213e-13	1.0254213391784e-16
1.74332882219997e-05	1.49239315895092e-12	4.69829794818813e-16
5.73615251044861e-05	1.61505183810995e-11	1.26277548252155e-14
0.000188739182213507	1.74851444706226e-10	1.36712712402383e-13
0.000621016941891554	1.89300597025846e-09	1.48010204446762e-12
0.00204335971785692	2.04943780271276e-08	1.60241284468471e-11
0.00672335753649925	2.21879667090266e-07	1.73483102560603e-10
0.0221221629107042	2.40215103755655e-06	1.87819199604777e-09
0.0727895384398306	2.60065996165714e-05	2.03340200014711e-08
0.239502661998746	0.000281560526499724	2.20146326774208e-07
0.788046281566982	0.00304869099594562	2.38370815884616e-06
2.59294379740464	0.0330547508478406	2.58448230369643e-05
8.5316785241727	0.363622685591831	0.000284309024279537
28.0721620394114	4.72038380596412	0.00369077004069328
92.3670857187375	28562.5606311084	22.3324728234048
303.919538231316	4.43320485532428	0.00346623078479453
999.999999999988	0.344834227864501	0.000269618719477732
