# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0
# m_u = 0
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 2
# process  = nu_e nu_e~ -> nu_e nu_e~
# Ecms	sigma[pb]	sigma_error[pb]
1e-12	1.12487569275413e-26	1.57013171246727e-18
3.29034456231267e-12	1.21783174601764e-25	1.57013171246727e-18
1.08263673387405e-11	1.31846938391667e-24	1.57013171246727e-18
3.56224789026243e-11	1.42742338751648e-23	1.57013171246727e-18
1.17210229753347e-10	1.54538099411627e-22	1.57013171246727e-18
3.85662042116344e-10	1.67308623206108e-21	1.57013171246727e-18
1.26896100316791e-09	1.81134461376824e-20	1.57013171246727e-18
4.17531893656036e-09	1.96102821657041e-19	1.57013171246727e-18
1.37382379588325e-08	2.12308118342267e-18	1.57013171246727e-18
4.52035365636018e-08	2.29852567817015e-17	1.57013171246727e-18
1.48735210729349e-07	2.48846833293978e-16	1.57132543340184e-18
4.89390091847743e-07	2.69410722832294e-15	1.7011746350714e-17
1.61026202756092e-06	2.91673026145109e-14	2.98833329704264e-17
5.29831690628364e-06	3.15647175621427e-13	1.49392285437881e-16
1.74332882219997e-05	3.41686294377088e-12	8.5425948548494e-16
5.73615251044861e-05	3.70224087466169e-11	2.18281261883807e-14
0.000188739182213507	4.00818196857047e-10	2.36319312433598e-13
0.000621016941891554	4.33940503536303e-09	2.55847968587635e-12
0.00204335971785692	4.69799929604831e-08	2.76990409348881e-11
0.00672335753649925	5.08622663244297e-07	2.99879995245618e-10
0.0221221629107042	5.50653600975852e-06	3.24661135574827e-09
0.0727895384398306	5.96158074701356e-05	3.5149050473092e-08
0.239502661998746	0.00064542566248435	3.80541610740163e-07
0.788046281566982	0.00698797069224026	4.12047858740233e-06
2.59294379740464	0.07569604751459	4.46796496776456e-05
8.5316785241727	0.824473313454406	0.00049197572262351
28.0721620394114	9.60836901022178	0.00638407006993484
92.3670857187375	15687.4873566521	8.89914486275706
303.919538231316	31.9017710191404	0.0150487852828011
999.999999999988	61.8266558571965	0.0295009696726874
