# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0
# m_u = 0
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 3
# process  = nu_e~ nu_e~ -> nu_e~ nu_e~
# Ecms	sigma[pb]	sigma_error[pb]
1e-12	1.68617838258439e-26	1.57013171246727e-18
3.29034456231267e-12	1.8255186568494e-25	1.57013171246727e-18
1.08263673387405e-11	1.97637355627791e-24	1.57013171246727e-18
3.56224789026243e-11	2.13969461188439e-23	1.57013171246727e-18
1.17210229753347e-10	2.31651198609827e-22	1.57013171246727e-18
3.85662042116344e-10	2.5079409706094e-21	1.57013171246727e-18
1.26896100316791e-09	2.71518902116893e-20	1.57013171246727e-18
4.17531893656036e-09	2.93956337373007e-19	1.57013171246727e-18
1.37382379588325e-08	3.18247928995019e-18	1.57013171246727e-18
4.52035365636018e-08	3.44546898409423e-17	1.57013171246727e-18
1.48735210729349e-07	3.73019128760538e-16	1.57013171246727e-18
4.89390091847743e-07	4.03844211233728e-15	1.57013171246727e-18
1.61026202756092e-06	4.37216577844163e-14	1.57013171246727e-18
5.29831690628364e-06	4.73346727832601e-13	1.57013171246727e-18
1.74332882219997e-05	5.12462555410719e-12	1.57013171246727e-18
5.73615251044861e-05	5.54810787222119e-11	1.57013171246727e-18
0.000188739182213507	6.00658538594009e-10	3.18278165103631e-18
0.000621016941891554	6.50294998369849e-09	1.57013171246727e-18
0.00204335971785692	7.04033252768628e-08	4.19993834929671e-16
0.00672335753649925	7.62212257555135e-07	3.89211905680062e-15
0.0221221629107042	8.25198944957571e-06	2.49982208639441e-14
0.0727895384398306	8.93390173889406e-05	5.16239947279708e-13
0.239502661998746	0.000967210964009145	1.57013171246727e-18
0.788046281566982	0.0104706714220644	2.6955242723064e-12
2.59294379740464	0.113276204018541	1.04903346452403e-10
8.5316785241727	1.21670281965991	9.63560246824418e-08
28.0721620394114	12.1291955251057	0.00010367529526722
92.3670857187375	68.1883961573756	0.0352538127202105
303.919538231316	91.0244154564378	0.0885336112264815
999.999999999988	75.0863950485401	0.0515051958296702
