# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0
# m_u = 0
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 5
# process  = nu_e nu_mu -> nu_e nu_mu
# Ecms	sigma[pb]	sigma_error[pb]
1e-12	8.43089191292195e-27	1.57013171246727e-18
3.29034456231267e-12	9.12759328424701e-26	1.57013171246727e-18
1.08263673387405e-11	9.88186778138954e-25	1.57013171246727e-18
3.56224789026243e-11	1.06984730594219e-23	1.57013171246727e-18
1.17210229753347e-10	1.15825599304914e-22	1.57013171246727e-18
3.85662042116344e-10	1.2539704853047e-21	1.57013171246727e-18
1.26896100316791e-09	1.35759451058447e-20	1.57013171246727e-18
4.17531893656036e-09	1.46978168686504e-19	1.57013171246727e-18
1.37382379588325e-08	1.59123964497509e-18	1.57013171246727e-18
4.52035365636018e-08	1.72273449204711e-17	1.57013171246727e-18
1.48735210729349e-07	1.86509564380269e-16	1.57013171246727e-18
4.89390091847743e-07	2.01922105616864e-15	1.57013171246727e-18
1.61026202756092e-06	2.18608288922082e-14	1.57013171246727e-18
5.29831690628364e-06	2.36673363916301e-13	1.57013171246727e-18
1.74332882219997e-05	2.56231277705359e-12	1.57013171246727e-18
5.73615251044861e-05	2.77405393611091e-11	1.57013171246727e-18
0.000188739182213507	3.00329269297059e-10	1.57013171246727e-18
0.000621016941891554	3.25147499184885e-09	1.72007578787681e-18
0.00204335971785692	3.52016626384568e-08	2.15850277159353e-17
0.00672335753649925	3.81106128779812e-07	4.49183696245533e-17
0.0221221629107042	4.12599472503141e-06	2.13155733932337e-15
0.0727895384398306	4.46695087230725e-05	1.10449591513369e-13
0.239502661998746	0.000483605485356772	1.35996160154054e-11
0.788046281566982	0.00523533610611104	1.59356294328971e-09
2.59294379740464	0.0566381510567478	1.86577099930086e-07
8.5316785241727	0.608360575905213	2.16112855231744e-05
28.0721620394114	6.06928236721437	0.00224081527129098
92.3670857187375	35.5147318914242	0.0169272256731261
303.919538231316	64.2941369226575	0.0281348062509821
999.999999999988	69.4845234790114	0.0379999657959335
